parcel_id,date,ndvi_mean,ndvi_stddev
P01,2026-06-01,0.592,0.022
P01,2026-06-08,0.483,0.033
P01,2026-06-15,0.621,0.061
P01,2026-06-22,0.668,0.025
P01,2026-06-29,0.527,0.022
P01,2026-07-06,0.466,0.05
P02,2026-06-01,0.408,0.032
P02,2026-06-08,0.595,0.053
P02,2026-06-15,0.466,0.055
P02,2026-06-22,0.643,0.02
P02,2026-06-29,0.642,0.062
P02,2026-07-06,0.502,0.029
P03,2026-06-01,0.687,0.04
P03,2026-06-08,0.428,0.026
P03,2026-06-15,0.654,0.056
P03,2026-06-22,0.642,0.064
P03,2026-06-29,0.561,0.078
P03,2026-07-06,0.514,0.053
P04,2026-06-01,0.649,0.057
P04,2026-06-08,0.659,0.055
P04,2026-06-15,0.611,0.023
P04,2026-06-22,0.468,0.037
P04,2026-06-29,0.424,0.034
P04,2026-07-06,0.43,0.037
P05,2026-06-01,0.591,0.042
P05,2026-06-08,0.511,0.033
P05,2026-06-15,0.48,0.076
P05,2026-06-22,0.594,0.057
P05,2026-06-29,0.451,0.064
P05,2026-07-06,0.449,0.043
