asset_id,date,sar_biomass,sar_stddev
A01,2026-06-01,17.72,0.85
A01,2026-06-08,19.73,1.52
A01,2026-06-15,12.67,0.95
A01,2026-06-22,12.69,1.6
A01,2026-06-29,13.23,1.77
A01,2026-07-06,12.87,1.44
A02,2026-06-01,15.54,0.85
A02,2026-06-08,12.02,1.88
A02,2026-06-15,19.81,0.95
A02,2026-06-22,17.88,1.99
A02,2026-06-29,19.23,1.86
A02,2026-07-06,14.7,1.66
A03,2026-06-01,15.98,1.92
A03,2026-06-08,17.62,1.81
A03,2026-06-15,18.86,1.26
A03,2026-06-22,17.7,0.91
A03,2026-06-29,13.65,1.92
A03,2026-07-06,15.24,1.62
A04,2026-06-01,16.61,1.11
A04,2026-06-08,16.69,1.89
A04,2026-06-15,14.62,1.22
A04,2026-06-22,13.49,1.01
A04,2026-06-29,18.62,1.65
A04,2026-07-06,19.72,1.6
A05,2026-06-01,19.67,1.07
A05,2026-06-08,13.5,1.06
A05,2026-06-15,15.07,1.99
A05,2026-06-22,13.8,1.35
A05,2026-06-29,12.49,0.83
A05,2026-07-06,16.37,1.54
