asset_id,date,ndvi_mean,ndvi_stddev
A01,2026-06-01,0.412,0.062
A01,2026-06-08,0.443,0.048
A01,2026-06-15,0.601,0.068
A01,2026-06-22,0.536,0.05
A01,2026-06-29,0.406,0.046
A01,2026-07-06,0.512,0.071
A02,2026-06-01,0.564,0.065
A02,2026-06-08,0.53,0.031
A02,2026-06-15,0.655,0.069
A02,2026-06-22,0.513,0.026
A02,2026-06-29,0.554,0.05
A02,2026-07-06,0.632,0.056
A03,2026-06-01,0.552,0.055
A03,2026-06-08,0.513,0.023
A03,2026-06-15,0.418,0.077
A03,2026-06-22,0.652,0.038
A03,2026-06-29,0.667,0.051
A03,2026-07-06,0.431,0.071
A04,2026-06-01,0.575,0.076
A04,2026-06-08,0.604,0.026
A04,2026-06-15,0.587,0.067
A04,2026-06-22,0.67,0.04
A04,2026-06-29,0.559,0.062
A04,2026-07-06,0.45,0.071
A05,2026-06-01,0.634,0.023
A05,2026-06-08,0.577,0.042
A05,2026-06-15,0.456,0.056
A05,2026-06-22,0.691,0.053
A05,2026-06-29,0.434,0.05
A05,2026-07-06,0.634,0.077
