hive_id,date,acoustic_anomaly,acoustic_stddev
H01,2026-07-01,0.437,0.144
H01,2026-07-03,0.367,0.116
H01,2026-07-05,0.493,0.115
H01,2026-07-07,0.397,0.141
H01,2026-07-09,0.672,0.127
H01,2026-07-11,0.518,0.078
H01,2026-07-13,0.0,0.074
H01,2026-07-15,0.222,0.12
H01,2026-07-17,0.228,0.077
H01,2026-07-19,0.271,0.091
H02,2026-07-01,0.607,0.075
H02,2026-07-03,0.669,0.073
H02,2026-07-05,0.099,0.082
H02,2026-07-07,0.16,0.083
H02,2026-07-09,0.0,0.058
H02,2026-07-11,0.31,0.141
H02,2026-07-13,0.581,0.13
H02,2026-07-15,0.185,0.088
H02,2026-07-17,0.62,0.119
H02,2026-07-19,0.223,0.095
H03,2026-07-01,0.356,0.124
H03,2026-07-03,0.602,0.051
H03,2026-07-05,0.207,0.071
H03,2026-07-07,0.53,0.063
H03,2026-07-09,0.313,0.062
H03,2026-07-11,0.333,0.089
H03,2026-07-13,0.015,0.081
H03,2026-07-15,0.297,0.063
H03,2026-07-17,0.548,0.118
H03,2026-07-19,0.164,0.119
H04,2026-07-01,0.183,0.082
H04,2026-07-03,0.542,0.115
H04,2026-07-05,0.315,0.13
H04,2026-07-07,0.267,0.062
H04,2026-07-09,0.379,0.106
H04,2026-07-11,0.308,0.136
H04,2026-07-13,0.405,0.093
H04,2026-07-15,0.247,0.144
H04,2026-07-17,0.585,0.075
H04,2026-07-19,0.057,0.077
H05,2026-07-01,0.393,0.09
H05,2026-07-03,0.426,0.13
H05,2026-07-05,0.234,0.068
H05,2026-07-07,0.196,0.095
H05,2026-07-09,0.475,0.129
H05,2026-07-11,0.156,0.119
H05,2026-07-13,0.469,0.088
H05,2026-07-15,0.137,0.096
H05,2026-07-17,0.352,0.069
H05,2026-07-19,0.147,0.134
