hive_id,date,env_prior_score
H01,2026-07-01,0.292
H01,2026-07-03,0.357
H01,2026-07-05,0.17
H01,2026-07-07,0.117
H01,2026-07-09,0.19
H01,2026-07-11,0.272
H01,2026-07-13,0.113
H01,2026-07-15,0.209
H01,2026-07-17,0.477
H01,2026-07-19,0.275
H02,2026-07-01,0.102
H02,2026-07-03,0.421
H02,2026-07-05,0.221
H02,2026-07-07,0.169
H02,2026-07-09,0.355
H02,2026-07-11,0.366
H02,2026-07-13,0.23
H02,2026-07-15,0.384
H02,2026-07-17,0.45
H02,2026-07-19,0.236
H03,2026-07-01,0.299
H03,2026-07-03,0.102
H03,2026-07-05,0.337
H03,2026-07-07,0.217
H03,2026-07-09,0.361
H03,2026-07-11,0.403
H03,2026-07-13,0.236
H03,2026-07-15,0.367
H03,2026-07-17,0.477
H03,2026-07-19,0.168
H04,2026-07-01,0.419
H04,2026-07-03,0.291
H04,2026-07-05,0.477
H04,2026-07-07,0.129
H04,2026-07-09,0.253
H04,2026-07-11,0.165
H04,2026-07-13,0.204
H04,2026-07-15,0.456
H04,2026-07-17,0.312
H04,2026-07-19,0.243
H05,2026-07-01,0.485
H05,2026-07-03,0.121
H05,2026-07-05,0.107
H05,2026-07-07,0.407
H05,2026-07-09,0.323
H05,2026-07-11,0.433
H05,2026-07-13,0.298
H05,2026-07-15,0.478
H05,2026-07-17,0.233
H05,2026-07-19,0.192
