hive_id,date,weight_anomaly_z,weight_stddev
H01,2026-07-01,-1.049,0.136
H01,2026-07-03,0.679,0.068
H01,2026-07-05,0.038,0.062
H01,2026-07-07,0.24,0.051
H01,2026-07-09,0.664,0.149
H01,2026-07-11,1.0,0.119
H01,2026-07-13,-0.736,0.119
H01,2026-07-15,0.705,0.083
H01,2026-07-17,1.718,0.112
H01,2026-07-19,0.856,0.061
H02,2026-07-01,0.403,0.146
H02,2026-07-03,0.19,0.061
H02,2026-07-05,-1.865,0.054
H02,2026-07-07,-1.872,0.089
H02,2026-07-09,-2.208,0.069
H02,2026-07-11,0.317,0.076
H02,2026-07-13,0.004,0.117
H02,2026-07-15,0.318,0.132
H02,2026-07-17,-0.256,0.121
H02,2026-07-19,0.108,0.124
H03,2026-07-01,-0.509,0.133
H03,2026-07-03,-0.733,0.113
H03,2026-07-05,-1.053,0.073
H03,2026-07-07,-0.668,0.096
H03,2026-07-09,0.415,0.085
H03,2026-07-11,-1.46,0.132
H03,2026-07-13,0.159,0.066
H03,2026-07-15,-0.253,0.072
H03,2026-07-17,1.666,0.115
H03,2026-07-19,0.153,0.104
H04,2026-07-01,0.939,0.07
H04,2026-07-03,-0.031,0.061
H04,2026-07-05,-1.024,0.111
H04,2026-07-07,1.61,0.056
H04,2026-07-09,-0.286,0.112
H04,2026-07-11,0.128,0.062
H04,2026-07-13,0.615,0.134
H04,2026-07-15,1.296,0.112
H04,2026-07-17,-0.39,0.077
H04,2026-07-19,1.386,0.051
H05,2026-07-01,-0.229,0.113
H05,2026-07-03,1.51,0.069
H05,2026-07-05,1.016,0.078
H05,2026-07-07,-1.587,0.146
H05,2026-07-09,-0.029,0.101
H05,2026-07-11,0.365,0.136
H05,2026-07-13,-1.019,0.099
H05,2026-07-15,-0.737,0.078
H05,2026-07-17,-0.313,0.105
H05,2026-07-19,0.966,0.144
